tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang
2021,08,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,20245
2021,08,Mikrotrans,JAK.85,Bintara - Cipinang Indah,19989
2021,08,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,33638
2021,08,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,46653
2021,08,Mikrotrans,JA.77,Tanjung Priok - Jembatan Item,47157
2021,08,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,34670
2021,08,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,27982
2021,08,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,50707
2021,08,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,64823
2021,08,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,48103
2021,08,Mikrotrans,JAK.64,Lenteng Agung - Aseli,35068
2021,08,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,20802
2021,08,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,44923
2021,08,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,43369
2021,08,Mikrotrans,JAK.58,Cilingcing - Rorotan,62761
2021,08,Mikrotrans,JAK.56,Grogol - Srengseng,33731
2021,08,Mikrotrans,JAK.54,Grogol - Benhil,30485
2021,08,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,28991
2021,08,Mikrotrans,JAK.52,Kalideres - Muara Angke,51132
2021,08,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,75413
2021,08,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,45605
2021,08,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,29621
2021,08,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,30006
2021,08,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,55148
2021,08,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,32335
2021,08,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,46374
2021,08,Mikrotrans,JAK.43,Tongtek - Cililitan,58213
2021,08,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,47589
2021,08,Mikrotrans,JAK.41,Kampung Melayu - Ppulo Gadung,32666
2021,08,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,22353
2021,08,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,43139
2021,08,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,33889
2021,08,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,37567
2021,08,Mikrotrans,JAK.36,Cilangkap - Cililitan,46615
2021,08,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,22681
2021,08,Mikrotrans,JAK.34,Rawamangun - Klender,46147
2021,08,Mikrotrans,JAK.33,Pulo Gadung - Kota,36510
2021,08,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,52495
2021,08,Mikrotrans,JAK.31,Blok M - Andara,42042
2021,08,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,98364
2021,08,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,76445
2021,08,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,43060
2021,08,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,26092
2021,08,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,27039
2021,08,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,36277
2021,08,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,49233
2021,08,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,13571
2021,08,Mikrotrans,JAK.21,Cililitan - Dwikora,50101
2021,08,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,38834
2021,08,Mikrotrans,"JAK,19",Pinang Ranti - Kampung Rambutan,72845
2021,08,Mikrotrans,JAK.18,Kalibata - Kuningan,21168
2021,08,Mikrotrans,JAK.17,Senen - Pulo Gadung ,31113
2021,08,Mikrotrans,JAK.16,Cililitan - Condet via Kayu Manis,48505
2021,08,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,81655
2021,08,Mikrotrans,JAK.14,Tanah Abang - Meruya,51129
2021,08,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,13403
2021,08,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,48687
2021,08,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,60534
2021,08,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,37541
2021,08,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama ,53707
2021,08,Mikrotrans,JAK.10,Tanah Abang - Kota ,36689
2021,08,Mikrotrans,JAK.09,Roxy Mas - Karet,17927
2021,08,Mikrotrans,JAK.08,Roxy - Benhil,27251
2021,08,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,34491
2021,08,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,45647
2021,08,Mikrotrans,JAK.05,Semper - Rorotan,43302
2021,08,Mikrotrans,JAK.04,Grogol - Tubagus Angke,37882
2021,08,Mikrotrans,JAK.03,Lebak Bulus - Andara,24756
2021,08,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,31289
2021,08,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,46703
2021,08,BRT,9,Pinang Ranti - Pluit,399358
2021,08,BRT,8,Lebak Bulus - Harmoni,248009
2021,08,BRT,7,Kampung Rambutan - Kampung Melayu,211537
2021,08,BRT,6,Ragunan - Dukuh Atas 2,194549
2021,08,BRT,5,Kampung Melayu - Ancol,228704
2021,08,BRT,4,Pulo Gadung 2 - Tosari,147131
2021,08,BRT,3,Kalideres - Pasar Baru,263067
2021,08,BRT,2,Pulo Gadung 1 - Harmoni,182122
2021,08,BRT,13,Ciledug - Tendean,160187
2021,08,BRT,12,Penjaringan - Sunter Bouleverd Barat,80348
2021,08,BRT,11,Pulo Gebang - Kampung Melayu,74753
2021,08,BRT,10,Tanjung Priok - PGC 2,213453
2021,08,BRT,1,Blok M - Kota,462959
2021,08,Angkutan Umum Integrasi,9H,Cipedak - Blok M,11808
2021,08,Angkutan Umum Integrasi,9E,Kebayoran Lama - Jelambar,10317
2021,08,Angkutan Umum Integrasi,9D,Pasar Minggu - Tanah Abang,57029
2021,08,Angkutan Umum Integrasi,8K,Batu Sari-Tanah Abang,5714
2021,08,Angkutan Umum Integrasi,8E,Bintaro - Blok M,12951
2021,08,Angkutan Umum Integrasi,8D,Joglo - Blok M,16723
2021,08,Angkutan Umum Integrasi,8C,Kebayoran Lama - Tanah Abang,0
2021,08,Angkutan Umum Integrasi,7P,Pondok Kelapa - BKN,16352
2021,08,Angkutan Umum Integrasi,7D,Pancoran - TMII,11908
2021,08,Angkutan Umum Integrasi,7B,Kampung Rambutan - Blok M,46807
