tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang
2021,04,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,31791
2021,04,Mikrotrans,JAK.85,Bintara - Cipinang Indah,26835
2021,04,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,40223
2021,04,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,64948
2021,04,Mikrotrans,JA.77,Tanjung Priok - Jembatan Item,69143
2021,04,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,49851
2021,04,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,44545
2021,04,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,73486
2021,04,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,104102
2021,04,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,71173
2021,04,Mikrotrans,JAK.64,Lenteng Agung - Aseli,47623
2021,04,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,42043
2021,04,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,73738
2021,04,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,94492
2021,04,Mikrotrans,JAK.58,Cilingcing - Rorotan,102437
2021,04,Mikrotrans,JAK.56,Grogol - Srengseng,55901
2021,04,Mikrotrans,JAK.54,Grogol - Benhil,39120
2021,04,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,36642
2021,04,Mikrotrans,JAK.52,Kalideres - Muara Angke,61905
2021,04,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,108669
2021,04,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,71057
2021,04,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,44479
2021,04,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,53740
2021,04,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,87618
2021,04,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,58579
2021,04,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,67175
2021,04,Mikrotrans,JAK.43,Tongtek - Cililitan,91751
2021,04,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,67771
2021,04,Mikrotrans,JAK.41,Kampung Melayu - Ppulo Gadung,40336
2021,04,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,46119
2021,04,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,66948
2021,04,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,51343
2021,04,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,59481
2021,04,Mikrotrans,JAK.36,Cilangkap - Cililitan,99921
2021,04,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,33547
2021,04,Mikrotrans,JAK.34,Rawamangun - Klender,83256
2021,04,Mikrotrans,JAK.33,Pulo Gadung - Kota,53128
2021,04,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,96164
2021,04,Mikrotrans,JAK.31,Blok M - Andara,68488
2021,04,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,151229
2021,04,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,114250
2021,04,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,70553
2021,04,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,47678
2021,04,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,44229
2021,04,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,62570
2021,04,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,77864
2021,04,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,31455
2021,04,Mikrotrans,JAK.21,Cililitan - Dwikora,64590
2021,04,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,67887
2021,04,Mikrotrans,"JAK,19",Pinang Ranti - Kampung Rambutan,120531
2021,04,Mikrotrans,JAK.18,Kalibata - Kuningan,36923
2021,04,Mikrotrans,JAK.17,Senen - Pulo Gadung ,43320
2021,04,Mikrotrans,JAK.16,Cililitan - Condet via Kayu Manis,76238
2021,04,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,134431
2021,04,Mikrotrans,JAK.14,Tanah Abang - Meruya,96813
2021,04,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,17877
2021,04,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,67485
2021,04,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,83132
2021,04,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,51550
2021,04,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama ,74291
2021,04,Mikrotrans,JAK.10,Tanah Abang - Kota ,55248
2021,04,Mikrotrans,JAK.09,Roxy Mas - Karet,23484
2021,04,Mikrotrans,JAK.08,Roxy - Benhil,38120
2021,04,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,53720
2021,04,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,82859
2021,04,Mikrotrans,JAK.05,Semper - Rorotan,73686
2021,04,Mikrotrans,JAK.04,Grogol - Tubagus Angke,51988
2021,04,Mikrotrans,JAK.03,Lebak Bulus - Andara,35820
2021,04,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,51757
2021,04,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,65366
2021,04,BRT,9,Pinang Ranti - Pluit,750330
2021,04,BRT,8,Lebak Bulus - Harmoni,515105
2021,04,BRT,7,Kampung Rambutan - Kampung Melayu,442653
2021,04,BRT,6,Ragunan - Dukuh Atas 2,399984
2021,04,BRT,5,Kampung Melayu - Ancol,488359
2021,04,BRT,4,Pulo Gadung 2 - Tosari,302574
2021,04,BRT,3,Kalideres - Pasar Baru,528578
2021,04,BRT,2,Pulo Gadung 1 - Harmoni,387163
2021,04,BRT,13,Ciledug - Tendean,342002
2021,04,BRT,12,Penjaringan - Sunter Bouleverd Barat,161849
2021,04,BRT,11,Pulo Gebang - Kampung Melayu,162931
2021,04,BRT,10,Tanjung Priok - PGC 2,424169
2021,04,BRT,1,Blok M - Kota,1003534
2021,04,Angkutan Umum Integrasi,9H,Cipedak - Blok M,12866
2021,04,Angkutan Umum Integrasi,9E,Kebayoran Lama - Jelambar,13390
2021,04,Angkutan Umum Integrasi,9D,Pasar Minggu - Tanah Abang,81041
2021,04,Angkutan Umum Integrasi,8K,Batu Sari-Tanah Abang,8991
2021,04,Angkutan Umum Integrasi,8E,Bintaro - Blok M,19625
2021,04,Angkutan Umum Integrasi,8D,Joglo - Blok M,32476
2021,04,Angkutan Umum Integrasi,8C,Kebayoran Lama - Tanah Abang,20132
2021,04,Angkutan Umum Integrasi,7P,Pondok Kelapa - BKN,25016
2021,04,Angkutan Umum Integrasi,7D,Pancoran - TMII,23932
2021,04,Angkutan Umum Integrasi,7B,Kampung Rambutan - Blok M,79510
2021,04,Angkutan Umum Integrasi,7A,Kampung Rambutan - Lebak Bulus,55940
2021,04,Angkutan Umum Integrasi,6R,Ragunan - Stasin MRT Fatmawati,1456
