tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang
2021,02,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,21344
2021,02,Mikrotrans,JAK.85,Bintara - Cipinang Indah,20729
2021,02,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,31200
2021,02,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,54914
2021,02,Mikrotrans,JA.77,Tanjung Priok - Jembatan Item,56920
2021,02,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,43997
2021,02,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,35356
2021,02,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,63940
2021,02,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,77250
2021,02,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,57426
2021,02,Mikrotrans,JAK.64,Lenteng Agung - Aseli,37219
2021,02,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,33443
2021,02,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,65846
2021,02,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,87721
2021,02,Mikrotrans,JAK.58,Cilingcing - Rorotan,87437
2021,02,Mikrotrans,JAK.56,Grogol - Srengseng,46279
2021,02,Mikrotrans,JAK.54,Grogol - Benhil,26980
2021,02,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,22227
2021,02,Mikrotrans,JAK.52,Kalideres - Muara Angke,43364
2021,02,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,92464
2021,02,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,51921
2021,02,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,35460
2021,02,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,40570
2021,02,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,57219
2021,02,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,44618
2021,02,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,52459
2021,02,Mikrotrans,JAK.43,Tongtek - Cililitan,77215
2021,02,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,52244
2021,02,Mikrotrans,JAK.41,Kampung Melayu - Ppulo Gadung,22924
2021,02,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,39204
2021,02,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,54632
2021,02,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,40927
2021,02,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,48742
