tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang
2021,01,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,1473
2021,01,Mikrotrans,JAK.85,Bintara - Cipinang Indah,20280
2021,01,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,28779
2021,01,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,54998
2021,01,Mikrotrans,JA.77,Tanjung Priok - Jembatan Item,60284
2021,01,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,48220
2021,01,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,38572
2021,01,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,65087
2021,01,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,85416
2021,01,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,62822
2021,01,Mikrotrans,JAK.64,Lenteng Agung - Aseli,36802
2021,01,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,36899
2021,01,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,72704
2021,01,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,90624
2021,01,Mikrotrans,JAK.58,Cilingcing - Rorotan,96030
2021,01,Mikrotrans,JAK.56,Grogol - Srengseng,50223
2021,01,Mikrotrans,JAK.54,Grogol - Benhil,25049
2021,01,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,20947
2021,01,Mikrotrans,JAK.52,Kalideres - Muara Angke,42875
2021,01,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,96336
2021,01,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,61171
2021,01,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,36662
2021,01,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,39551
2021,01,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,59975
2021,01,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,47171
2021,01,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,53202
2021,01,Mikrotrans,JAK.43,Tongtek - Cililitan,74225
2021,01,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,50456
2021,01,Mikrotrans,JAK.41,Kampung Melayu - Ppulo Gadung,21109
2021,01,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,41797
2021,01,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,54414
2021,01,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,43994
2021,01,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,46026
