tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang
2021,07,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,27538
2021,07,Mikrotrans,JAK.85,Bintara - Cipinang Indah,25470
2021,07,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,40086
2021,07,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,60821
2021,07,Mikrotrans,JA.77,Tanjung Priok - Jembatan Item,60267
2021,07,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,42919
2021,07,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,39415
2021,07,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,61657
2021,07,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,86419
2021,07,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,61194
2021,07,Mikrotrans,JAK.64,Lenteng Agung - Aseli,35142
2021,07,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,29397
2021,07,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,51455
2021,07,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,68926
2021,07,Mikrotrans,JAK.58,Cilingcing - Rorotan,84804
2021,07,Mikrotrans,JAK.56,Grogol - Srengseng,50173
2021,07,Mikrotrans,JAK.54,Grogol - Benhil,35059
2021,07,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,35322
2021,07,Mikrotrans,JAK.52,Kalideres - Muara Angke,55626
2021,07,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,90388
2021,07,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,59756
2021,07,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,35304
2021,07,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,42179
2021,07,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,70972
2021,07,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,42681
2021,07,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,53677
2021,07,Mikrotrans,JAK.43,Tongtek - Cililitan,69302
2021,07,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,59935
2021,07,Mikrotrans,JAK.41,Kampung Melayu - Ppulo Gadung,39265
2021,07,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,39761
2021,07,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,50834
2021,07,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,41201
2021,07,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,43598
2021,07,Mikrotrans,JAK.36,Cilangkap - Cililitan,59082
2021,07,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,33239
2021,07,Mikrotrans,JAK.34,Rawamangun - Klender,66981
2021,07,Mikrotrans,JAK.33,Pulo Gadung - Kota,53882
2021,07,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,65877
2021,07,Mikrotrans,JAK.31,Blok M - Andara,47265
2021,07,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,115750
2021,07,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,102252
2021,07,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,60833
2021,07,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,45238
2021,07,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,34525
2021,07,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,51709
2021,07,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,67255
2021,07,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,22151
2021,07,Mikrotrans,JAK.21,Cililitan - Dwikora,50079
2021,07,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,54167
2021,07,Mikrotrans,"JAK,19",Pinang Ranti - Kampung Rambutan,89642
2021,07,Mikrotrans,JAK.18,Kalibata - Kuningan,27976
2021,07,Mikrotrans,JAK.17,Senen - Pulo Gadung ,40998
2021,07,Mikrotrans,JAK.16,Cililitan - Condet via Kayu Manis,67962
2021,07,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,107567
2021,07,Mikrotrans,JAK.14,Tanah Abang - Meruya,68627
2021,07,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,16554
2021,07,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,62106
2021,07,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,75944
2021,07,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,47747
2021,07,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama ,64412
2021,07,Mikrotrans,JAK. 10B,Gondangdia - Cikini via Kramat Jaya,3136
2021,07,Mikrotrans,JAK.10A,Gondangdia - Cikini via Salemba Raya,19060
2021,07,Mikrotrans,JAK.10,Tanah Abang - Kota ,40221
2021,07,Mikrotrans,JAK.09,Roxy Mas - Karet,16921
2021,07,Mikrotrans,JAK.08,Roxy - Benhil,24959
2021,07,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,41852
2021,07,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,63751
2021,07,Mikrotrans,JAK.05,Semper - Rorotan,61720
2021,07,Mikrotrans,JAK.04,Grogol - Tubagus Angke,52237
2021,07,Mikrotrans,JAK.03,Lebak Bulus - Andara,28719
2021,07,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,41284
2021,07,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,53303
2021,07,BRT,9,Pinang Ranti - Pluit,326712
2021,07,BRT,8,Lebak Bulus - Harmoni,194713
2021,07,BRT,7,Kampung Rambutan - Kampung Melayu,174682
2021,07,BRT,6,Ragunan - Dukuh Atas 2,157941
2021,07,BRT,5,Kampung Melayu - Ancol,181565
2021,07,BRT,4,Pulo Gadung 2 - Tosari,118923
2021,07,BRT,3,Kalideres - Pasar Baru,205148
2021,07,BRT,2,Pulo Gadung 1 - Harmoni,143327
2021,07,BRT,13,Ciledug - Tendean,124158
2021,07,BRT,12,Penjaringan - Sunter Bouleverd Barat,62403
2021,07,BRT,11,Pulo Gebang - Kampung Melayu,62391
2021,07,BRT,10,Tanjung Priok - PGC 2,175900
2021,07,BRT,1,Blok M - Kota,344528
2021,07,Angkutan Umum Integrasi,9H,Cipedak - Blok M,9158
2021,07,Angkutan Umum Integrasi,9E,Kebayoran Lama - Jelambar,7914
2021,07,Angkutan Umum Integrasi,9D,Pasar Minggu - Tanah Abang,41267
2021,07,Angkutan Umum Integrasi,8K,Batu Sari-Tanah Abang,3406
2021,07,Angkutan Umum Integrasi,8E,Bintaro - Blok M,8853
2021,07,Angkutan Umum Integrasi,8D,Joglo - Blok M,13387
2021,07,Angkutan Umum Integrasi,8C,Kebayoran Lama - Tanah Abang,1186
2021,07,Angkutan Umum Integrasi,7P,Pondok Kelapa - BKN,10617
2021,07,Angkutan Umum Integrasi,7D,Pancoran - TMII,9570
2021,07,Angkutan Umum Integrasi,7B,Kampung Rambutan - Blok M,38429
2021,07,Angkutan Umum Integrasi,7A,Kampung Rambutan - Lebak Bulus,36224
2021,07,Angkutan Umum Integrasi,6R,Ragunan - Stasin MRT Fatmawati,1026
2021,07,Angkutan Umum Integrasi,6N,Ragunan - Blok M via Kemang,12623
2021,07,Angkutan Umum Integrasi,6M,Stasiun Manggarai - Blok  M,10908
2021,07,Angkutan Umum Integrasi,6H,Senen - Lebak Bulus,8552
2021,07,Angkutan Umum Integrasi,6C,Stasin Tebet - Karet via Patra Kuningan,42384
2021,07,Angkutan Umum Integrasi,5M,Kampung Melayu - Tanah Abang via Cikini,38167
2021,07,Angkutan Umum Integrasi,5F,Kampung Melayu - Tanah Abang,6465
2021,07,Angkutan Umum Integrasi,5B,Stasiun Tebet - Bidara Cina,3603
2021,07,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,20815
