tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang
2021,06,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,33636
2021,06,Mikrotrans,JAK.85,Bintara - Cipinang Indah,30376
2021,06,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,43502
2021,06,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,67559
2021,06,Mikrotrans,JA.77,Tanjung Priok - Jembatan Item,73193
2021,06,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,49284
2021,06,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,43869
2021,06,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,75138
2021,06,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,100305
2021,06,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,63162
2021,06,Mikrotrans,JAK.64,Lenteng Agung - Aseli,48331
2021,06,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,41219
2021,06,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,73595
2021,06,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,88536
2021,06,Mikrotrans,JAK.58,Cilingcing - Rorotan,101903
2021,06,Mikrotrans,JAK.56,Grogol - Srengseng,57394
2021,06,Mikrotrans,JAK.54,Grogol - Benhil,40997
2021,06,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,39339
2021,06,Mikrotrans,JAK.52,Kalideres - Muara Angke,65733
2021,06,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,108644
2021,06,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,69534
2021,06,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,43143
2021,06,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,53892
2021,06,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,82501
2021,06,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,57551
2021,06,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,68704
2021,06,Mikrotrans,JAK.43,Tongtek - Cililitan,92420
2021,06,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,69476
2021,06,Mikrotrans,JAK.41,Kampung Melayu - Ppulo Gadung,40724
2021,06,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,47087
2021,06,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,63562
2021,06,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,54526
2021,06,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,56898
2021,06,Mikrotrans,JAK.36,Cilangkap - Cililitan,86425
2021,06,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,36012
2021,06,Mikrotrans,JAK.34,Rawamangun - Klender,75158
2021,06,Mikrotrans,JAK.33,Pulo Gadung - Kota,56710
2021,06,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,92744
