tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang
2021,03,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,29550
2021,03,Mikrotrans,JAK.85,Bintara - Cipinang Indah,29905
2021,03,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,38674
2021,03,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,63082
2021,03,Mikrotrans,JA.77,Tanjung Priok - Jembatan Item,67739
2021,03,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,53047
2021,03,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,42207
2021,03,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,78340
2021,03,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,91806
2021,03,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,68156
2021,03,Mikrotrans,JAK.64,Lenteng Agung - Aseli,46819
2021,03,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,41360
2021,03,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,77402
2021,03,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,100686
2021,03,Mikrotrans,JAK.58,Cilingcing - Rorotan,97206
2021,03,Mikrotrans,JAK.56,Grogol - Srengseng,53886
2021,03,Mikrotrans,JAK.54,Grogol - Benhil,32490
2021,03,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,28325
2021,03,Mikrotrans,JAK.52,Kalideres - Muara Angke,59280
2021,03,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,113243
2021,03,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,67363
2021,03,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,43954
2021,03,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,52411
2021,03,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,77915
2021,03,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,57681
2021,03,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,65591
2021,03,Mikrotrans,JAK.43,Tongtek - Cililitan,89649
2021,03,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,64890
2021,03,Mikrotrans,JAK.41,Kampung Melayu - Ppulo Gadung,29450
2021,03,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,46228
2021,03,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,65972
2021,03,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,50005
2021,03,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,62773
2021,03,Mikrotrans,JAK.36,Cilangkap - Cililitan,101015
2021,03,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,35034
2021,03,Mikrotrans,JAK.34,Rawamangun - Klender,80563
2021,03,Mikrotrans,JAK.33,Pulo Gadung - Kota,54740
2021,03,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,94096
2021,03,Mikrotrans,JAK.31,Blok M - Andara,66327
2021,03,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,148435
2021,03,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,118492
2021,03,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,70303
2021,03,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,52236
2021,03,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,43700
2021,03,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,62854
2021,03,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,78082
2021,03,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,29951
2021,03,Mikrotrans,JAK.21,Cililitan - Dwikora,62627
2021,03,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,68562
2021,03,Mikrotrans,"JAK,19",Pinang Ranti - Kampung Rambutan,121838
2021,03,Mikrotrans,JAK.18,Kalibata - Kuningan,37386
2021,03,Mikrotrans,JAK.17,Senen - Pulo Gadung ,38648
2021,03,Mikrotrans,JAK.16,Cililitan - Condet via Kayu Manis,76307
2021,03,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,133740
2021,03,Mikrotrans,JAK.14,Tanah Abang - Meruya,88861
2021,03,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,15585
2021,03,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,67389
2021,03,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,83110
2021,03,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,52125
2021,03,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama ,73946
2021,03,Mikrotrans,JAK.10B,Gondangdia - Cikini via Kramat Raya,2828
2021,03,Mikrotrans,JAK.10A,Gondangdia - Cikini via Salemba Raya,16781
2021,03,Mikrotrans,JAK.10,Tanah Abang - Kota ,51063
2021,03,Mikrotrans,JAK.09,Roxy Mas - Karet,25584
2021,03,Mikrotrans,JAK.08,Roxy - Benhil,29530
2021,03,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,46342
2021,03,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,82814
2021,03,Mikrotrans,JAK.05,Semper - Rorotan,75218
2021,03,Mikrotrans,JAK.04,Grogol - Tubagus Angke,52690
2021,03,Mikrotrans,JAK.03,Lebak Bulus - Andara,36614
2021,03,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,52302
2021,03,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,67629
2021,03,BRT,9,Pinang Ranti - Pluit,756064
2021,03,BRT,8,Lebak Bulus - Harmoni,508851
2021,03,BRT,7,Kampung Rambutan - Kampung Melayu,453819
2021,03,BRT,6,Ragunan - Dukuh Atas 2,405083
2021,03,BRT,5,Kampung Melayu - Ancol,494769
2021,03,BRT,4,Pulo Gadung 2 - Tosari,277604
2021,03,BRT,3,Kalideres - Pasar Baru,534617
2021,03,BRT,2,Pulo Gadung 1 - Harmoni,412664
2021,03,BRT,13,Ciledug - Tendean,334450
2021,03,BRT,12,Penjaringan - Sunter Bouleverd Barat,164012
2021,03,BRT,11,Pulo Gebang - Kampung Melayu,166555
2021,03,BRT,10,Tanjung Priok - PGC 2,427032
2021,03,BRT,1,Blok M - Kota,1013221
