tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang
2021,05,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,29592
2021,05,Mikrotrans,JAK.85,Bintara - Cipinang Indah,28069
2021,05,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,40355
2021,05,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,66030
2021,05,Mikrotrans,JA.77,Tanjung Priok - Jembatan Item,62948
2021,05,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,46434
2021,05,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,43117
2021,05,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,74041
2021,05,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,98840
2021,05,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,63711
2021,05,Mikrotrans,JAK.64,Lenteng Agung - Aseli,44437
2021,05,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,37132
2021,05,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,70382
2021,05,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,88187
2021,05,Mikrotrans,JAK.58,Cilingcing - Rorotan,96611
2021,05,Mikrotrans,JAK.56,Grogol - Srengseng,52740
2021,05,Mikrotrans,JAK.54,Grogol - Benhil,39288
2021,05,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,35808
2021,05,Mikrotrans,JAK.52,Kalideres - Muara Angke,57570
2021,05,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,97315
2021,05,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,67209
2021,05,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,42656
2021,05,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,52794
2021,05,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,82255
2021,05,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,56396
2021,05,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,64791
2021,05,Mikrotrans,JAK.43,Tongtek - Cililitan,91303
2021,05,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,67202
2021,05,Mikrotrans,JAK.41,Kampung Melayu - Ppulo Gadung,39978
2021,05,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,44007
2021,05,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,64356
2021,05,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,51306
2021,05,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,58115
2021,05,Mikrotrans,JAK.36,Cilangkap - Cililitan,90157
2021,05,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,34739
2021,05,Mikrotrans,JAK.34,Rawamangun - Klender,79082
2021,05,Mikrotrans,JAK.33,Pulo Gadung - Kota,48601
2021,05,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,88819
2021,05,Mikrotrans,JAK.31,Blok M - Andara,63954
2021,05,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,136430
2021,05,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,108161
2021,05,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,67506
2021,05,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,47707
2021,05,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,43724
2021,05,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,62075
2021,05,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,73953
2021,05,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,32690
2021,05,Mikrotrans,JAK.21,Cililitan - Dwikora,61989
2021,05,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,64374
2021,05,Mikrotrans,"JAK,19",Pinang Ranti - Kampung Rambutan,115780
2021,05,Mikrotrans,JAK.18,Kalibata - Kuningan,35873
2021,05,Mikrotrans,JAK.17,Senen - Pulo Gadung ,39786
2021,05,Mikrotrans,JAK.16,Cililitan - Condet via Kayu Manis,71832
2021,05,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,129203
2021,05,Mikrotrans,JAK.14,Tanah Abang - Meruya,83600
2021,05,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,17058
2021,05,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,65327
2021,05,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,85211
2021,05,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,49628
2021,05,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama ,69701
2021,05,Mikrotrans,JAK.10,Tanah Abang - Kota ,49104
2021,05,Mikrotrans,JAK.09,Roxy Mas - Karet,19727
2021,05,Mikrotrans,JAK.08,Roxy - Benhil,29436
2021,05,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,49450
2021,05,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,82681
2021,05,Mikrotrans,JAK.05,Semper - Rorotan,72159
2021,05,Mikrotrans,JAK.04,Grogol - Tubagus Angke,51092
2021,05,Mikrotrans,JAK.03,Lebak Bulus - Andara,34997
2021,05,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,51453
2021,05,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,62646
2021,05,BRT,9,Pinang Ranti - Pluit,663201
2021,05,BRT,8,Lebak Bulus - Harmoni,480392
2021,05,BRT,7,Kampung Rambutan - Kampung Melayu,416381
2021,05,BRT,6,Ragunan - Dukuh Atas 2,351285
2021,05,BRT,5,Kampung Melayu - Ancol,469390
2021,05,BRT,4,Pulo Gadung 2 - Tosari,269533
2021,05,BRT,3,Kalideres - Pasar Baru,496285
2021,05,BRT,2,Pulo Gadung 1 - Harmoni,358525
2021,05,BRT,13,Ciledug - Tendean,323662
2021,05,BRT,12,Penjaringan - Sunter Bouleverd Barat,138371
2021,05,BRT,11,Pulo Gebang - Kampung Melayu,154256
2021,05,BRT,10,Tanjung Priok - PGC 2,396760
2021,05,BRT,1,Blok M - Kota,937452
2021,05,Angkutan Umum Integrasi,9H,Cipedak - Blok M,10968
2021,05,Angkutan Umum Integrasi,9E,Kebayoran Lama - Jelambar,10808
2021,05,Angkutan Umum Integrasi,9D,Pasar Minggu - Tanah Abang,72275
2021,05,Angkutan Umum Integrasi,8K,Batu Sari-Tanah Abang,6416
2021,05,Angkutan Umum Integrasi,8E,Bintaro - Blok M,18780
2021,05,Angkutan Umum Integrasi,8D,Joglo - Blok M,27926
2021,05,Angkutan Umum Integrasi,8C,Kebayoran Lama - Tanah Abang,17630
2021,05,Angkutan Umum Integrasi,7P,Pondok Kelapa - BKN,22375
2021,05,Angkutan Umum Integrasi,7D,Pancoran - TMII,22748
2021,05,Angkutan Umum Integrasi,7B,Kampung Rambutan - Blok M,74042
2021,05,Angkutan Umum Integrasi,7A,Kampung Rambutan - Lebak Bulus,59239
2021,05,Angkutan Umum Integrasi,6R,Ragunan - Stasin MRT Fatmawati,1955
2021,05,Angkutan Umum Integrasi,6N,Ragunan - Blok M via Kemang,23488
2021,05,Angkutan Umum Integrasi,6M,Stasiun Manggarai - Blok  M,19834
2021,05,Angkutan Umum Integrasi,6H,Senen - Lebak Bulus,14432
